Time Created,Tweet_Text,Username,Additional Hashtags,Account Followers,Number Retweets,Number Likes
2020-12-24 20:12:59,b'\xf0\x9f\xa5\xb0Manor View staff were delighted to vaccinate numerous centenarians at both Elton House and Courtlands Lodge. Raising hands Serving the Bushey and Watford communities for over 100 years.  #COVID-19 #Pfizer #TeamMvP #EltonHouse #CourtlandsLodge https://t.co/h9o5leAMny',b'Manor_View_NHS',"['COVID', 'Pfizer', 'TeamMvP', 'EltonHouse', 'CourtlandsLodge']",5,0,0
2020-12-24 19:44:30,"b""#XmasEve  #Covid19UK daily tweet  @Conservatives commit #Genocide   Day 22 'tiers' England  Day 17 #Pfizer #vaccine  2,155,996 cases &amp; 69,157 official deaths Excess deaths c.83k RIP\xf0\x9f\x92\x94  1/85 English infected @ONS stats 2% #London infected #PlagueIsland \xe2\x9a\xb0\xef\xb8\x8f #BrexitDisaster #ToryScum""",b'RedbirdEl',"['XmasEve', 'Covid19UK', 'Genocide', 'Pfizer', 'vaccine', 'London', 'PlagueIsland', 'BrexitDisaster', 'ToryScum']",2707,0,0
2020-12-24 19:30:00,"b'#Pfizer is gearing up for the shipping of #COVID-19 vaccines at its manufacturing site in #Puurs, as seen on Thursday. #Belgium https://t.co/X0FG5EsvaX'",b'Ruptly',"['Pfizer', 'COVID', 'Puurs', 'Belgium']",113883,3,4
2020-12-24 19:08:55,b'Pharma Claus The Christmas present the world wishes: a cure for Covid-19. Vaccines arrive Rodrigo de Matos #COVID19 #coronavirus #pandemic #vaccine #health #big #pharma #Christmas #SantaClaus #Oxford #AstraZeneca #Pfizer #BioNTech #Moderna https://t.co/kJhIJLQDJW',b'eerdincus',"['COVID19', 'coronavirus', 'pandemic', 'vaccine', 'health', 'big', 'pharma', 'Christmas', 'SantaClaus', 'Oxford', 'AstraZeneca', 'Pfizer', 'BioNTech', 'Moderna']",65,0,0
2020-12-24 18:42:13,b'Frequency of #allergic reactions to #Pfizer #vaccine greater than expected https://t.co/03Af66E8CT #unexpectedly',b'do6986',"['allergic', 'Pfizer', 'vaccine', 'unexpectedly']",1786,0,0
2020-12-24 18:41:50,b'the cuttest letter ever... \xf0\x9f\x92\x9c #covid #SantaClaus #SaveTheChristmas #Pfizer   https://t.co/IdBq4irDB1 https://t.co/KXlvl41XYK',b'jose_emmanuel__',"['covid', 'SantaClaus', 'SaveTheChristmas', 'Pfizer']",295,0,0
2020-12-24 18:35:43,"b""#breaking #Norad #covid19 pc #vaccine #Pfizer #Moderna  #masks up #Santa spotted #SantaClausIsComingToTown how cute! #SanDiego  Santa spotted on NORAD's tracker wearing a mask as he delivers gifts https://t.co/3gx66ZQPay via @MailOnline""",b'rebjefwill_j',"['breaking', 'Norad', 'covid19', 'vaccine', 'Pfizer', 'Moderna', 'masks', 'Santa', 'SantaClausIsComingToTown', 'SanDiego']",226,0,0
2020-12-24 18:33:08,"b""From the Center of Disease Control and Prevention (#CDC) report:  On December 18, out of 112807 people vaccinated in #UK with #Pfizer's #vaccine, 3150 had health impact effects requiring medical care. 2.8% of vaccineted people presented considerable adverse reactions. https://t.co/cXivwUgFpV""",b'pan_naxos',"['CDC', 'UK', 'Pfizer', 'vaccine']",206,0,2
2020-12-24 18:20:21,"b'#Israel approves using each #Pfizer #vaccine vial to inoculate more people. Health Ministry says 6 doses to be extracted from each container rather than 5; move will enable immunization of 800,000 more Israelis #COVID19 https://t.co/4DgxnlABRt'",b'edrormba',"['Israel', 'Pfizer', 'vaccine', 'COVID19']",11173,1,2
2020-12-24 18:16:00,b'#Pfizer seals deal with US for 100 million more #COVID19 #vaccine doses. Company agrees to provide additional doses by the end of July https://t.co/kVVUc16WH7',b'gulf_news',"['Pfizer', 'COVID19', 'vaccine']",1180594,0,8
2020-12-24 18:13:42,"b""@EpochTimesChina If it comes from #China, don't take it  Even the #Pfizer #Vaccin comes from a company that has been revealed to have #CCP members who have infiltrated the company  Careful what you inject into your body  #COVID19 #COVID #BidenCheated2020""",b'LiuBaoBei1',"['China', 'Pfizer', 'Vaccin', 'CCP', 'COVID19', 'COVID', 'BidenCheated2020']",222,0,0
2020-12-24 18:13:37,"b""If it comes from #China, don't take it  Even the #Pfizer #Vaccin comes from a company that has been revealed to have #CCP members who have infiltrated the company  Careful what you inject into your body  #COVID19 #COVID #BidenCheated2020 https://t.co/vK6riT8oGH""",b'LiuBaoBei1',"['China', 'Pfizer', 'Vaccin', 'CCP', 'COVID19', 'COVID', 'BidenCheated2020']",222,0,0
2020-12-24 17:52:26,b'The first consignment of the Pfizer-BioNTech COVID-19 vaccine arrived in the Sultanate this evening through the Muscat International Airport.  #Oman #Vaccine #Coronavirus #COVID19 #COVID20 #Pfizer #BioNTech #\xd8\xb9\xd9\x85\xd8\xa7\xd9\x86_\xd8\xaa\xd9\x88\xd8\xa7\xd8\xac\xd9\x87_\xd9\x83\xd9\x88\xd8\xb1\xd9\x88\xd9\x86\xd8\xa7 #\xd9\x85\xd8\xb3\xd8\xa7\xd8\xa1_\xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1 | @pfizer  https://t.co/fnmbeAAC3J',b'BusinessLiveME',"['Oman', 'Vaccine', 'Coronavirus', 'COVID19', 'COVID20', 'Pfizer', 'BioNTech', 'عمان_تواجه_كورونا', 'مساء_الخير']",2764,0,0
2020-12-24 17:48:12,b'A common side effect from the coronavirus vaccine is c-walking from joy.  #Covid_19 #vaccine #Pfizer #blessed https://t.co/gREbXiJtxR',b'adamrajoulhmd',"['Covid_19', 'vaccine', 'Pfizer', 'blessed']",9,0,0
2020-12-24 17:03:59,"b""As expected... COVID-19 vaccine is causing reactions at a rate that is 'superior' https://t.co/Yyy1lo1Gv5 via @MailOnline #COVID #COVIDSecondWave #PfizerBioNTech #Pfizer #coronabeleid #Covid19InSA #COVID19""",b'ChatthaHyder',"['COVID', 'COVIDSecondWave', 'PfizerBioNTech', 'Pfizer', 'coronabeleid', 'Covid19InSA', 'COVID19']",250,5,4
2020-12-24 16:56:03,"b""I'm no scientist but this person has the best argument I've seen yet.   #COVID19 #vaccine #Pfizer https://t.co/gZeU96Jqew""",b'CanadienSaintNk',"['COVID19', 'vaccine', 'Pfizer']",130,1,2
2020-12-24 16:48:33,"b'No worries people, #Pfizer has been chosen as the #vaccine that most Earth Humans will receive. What could go wrong? What is in it? HIV? Cancer? Sterilization? Chip? Drone? Time bomb? You have to be insane or 100% brainwashed to voluntarily get that poison into your body!'",b'angeloftruth11',"['Pfizer', 'vaccine']",11812,0,0
2020-12-24 16:33:22,b'How much investment did the #USTaxpayer make in the #PfizerCovidVaccine?  Why is #China getting 100 Mil doses if US developed the #vaccine?  #Pfizer #coronavirus #TRUMP2020ToSaveAmerica https://t.co/4Ew4y5t8dA',b'DemRascals',"['USTaxpayer', 'PfizerCovidVaccine', 'China', 'vaccine', 'Pfizer', 'coronavirus', 'TRUMP2020ToSaveAmerica']",31,0,0
2020-12-24 16:32:35,"b'#BREAKING: The first batch of Pfizer Coronavirus (COVID-19) vaccine has arrived in Oman. This consignment contains 15,600 doses and will be administered to members of the public from Sunday.  #Oman #COVID19 #COVID20 #Coronavirus #Vaccine #Pfizer #\xd8\xb9\xd9\x85\xd8\xa7\xd9\x86_\xd8\xaa\xd9\x88\xd8\xa7\xd8\xac\xd9\x87_\xd9\x83\xd9\x88\xd8\xb1\xd9\x88\xd9\x86\xd8\xa7 #\xd9\x85\xd8\xb3\xd8\xa7\xd8\xa1_\xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1 https://t.co/vnGk9Mj1Y1'",b'BusinessLiveME',"['BREAKING', 'Oman', 'COVID19', 'COVID20', 'Coronavirus', 'Vaccine', 'Pfizer', 'عمان_تواجه_كورونا', 'مساء_الخير']",2764,0,3
2020-12-24 16:23:24,"b'""#Pfizer #COVID #vaccine causing more #allergies than expected says #WhiteHouse adviser Moncef Slaoui."" https://t.co/LxBypu1pxh'",b'erkdeni',"['Pfizer', 'COVID', 'vaccine', 'allergies', 'WhiteHouse']",118,1,0
2020-12-24 16:19:10,b'Just got free $FB stock. Get yours: https://t.co/lZ9FxWWWr0  #stocks #stockmarket #finance #fintech #bitcoin #crypto $btc $spy $djia $aapl $msft $amzn $goog $twtr $snap $btc $nvda $tsla $fb $shop $xrp #ripple #usa #earn #money #invest #moderna #pfizer #vaccine #xmas #christmas https://t.co/xIfoCl7fdE',b'moncef_fahim',"['stocks', 'stockmarket', 'finance', 'fintech', 'bitcoin', 'crypto', 'ripple', 'usa', 'earn', 'money', 'invest', 'moderna', 'pfizer', 'vaccine', 'xmas', 'christmas']",237,0,1
2020-12-24 16:11:00,"b""Ugur Shin, CEO of German firm #BioNTech, says that it's highly likely their #covid19 #vaccine will work against the new strain. He also pointed out that a proper study will be done to confirm. #coronavirusvaccine  #publichealth #Pfizer https://t.co/ImnxaVAu50""",b'TheAdvocateIsIn',"['BioNTech', 'covid19', 'vaccine', 'coronavirusvaccine', 'publichealth', 'Pfizer']",5803,0,1
2020-12-24 16:10:06,"b""It's X-Mas eve and what better way then leave you for Christmas by reviewing Moderna and Pfizer updates.  https://t.co/8sckrFqWfx #Pfizer #Moderna #MRNA #Stocks #stockstobuy #topstocks #beststocks #investing #investingtips #vaccine #covid #vaccinenews #breakingnews #PFE #$MRNA""",b'Zero2Freedom',"['Pfizer', 'Moderna', 'MRNA', 'Stocks', 'stockstobuy', 'topstocks', 'beststocks', 'investing', 'investingtips', 'vaccine', 'covid', 'vaccinenews', 'breakingnews', 'PFE']",56,0,0
2020-12-24 15:57:39,"b'Agreed! As reports surfaced Wednesday of yet another healthcare worker who suffered a severe allergic reaction to #Pfizer\xe2\x80\x99s #COVID #vaccine, it\xe2\x80\x99s time the #FDA and #Fauci explain what they plan to do about it. #TheDefender   https://t.co/958dK2PZrv'",b'lizzywales',"['Pfizer', 'COVID', 'vaccine', 'FDA', 'Fauci', 'TheDefender']",12932,2,2
2020-12-24 15:46:16,b'#Pfizer #COVID19 #vaccine causing more allergic reactions than expected - https://t.co/noiWgoNOnm',b'Hotpage_News',"['Pfizer', 'COVID19', 'vaccine']",25239,0,0
2020-12-24 15:35:38,b'Watch | First shipment of Pfizer/BioNTech Covid-19 #vaccine arrives in #Oman  #ArabianDaily #Pfizer https://t.co/nYhZmPFXuT',b'arabiandaily_',"['vaccine', 'Oman', 'ArabianDaily', 'Pfizer']",78,0,1
2020-12-24 15:30:39,"b'""Another #healthcare  worker suffered a severe #allergic reaction to #Pfizer\xe2\x80\x99s #COVID #vaccine"" https://t.co/iSsYKspWWu'",b'Justis4u2',"['healthcare', 'allergic', 'Pfizer', 'COVID', 'vaccine']",535,0,0
2020-12-24 15:30:08,"b""The first #Dubai residents received the #Pfizer-#BioNTech #vaccine on Wednesday after an extensive inoculation drive was approved. It is the second vaccine to be introduced in the #Emirates in the fight against #Covid19, following #China's #Sinopharm shot last month https://t.co/vqUdYGke3T""",b'UAE_Forsan',"['Dubai', 'Pfizer', 'BioNTech', 'vaccine', 'Emirates', 'Covid19', 'China', 'Sinopharm']",14442,2,2
2020-12-24 15:04:00,"b""Health Ministry director-general Chezy Levy approved on Thursday for medical professionals to begin extracting six doses from #Pfizer's coronavirus #vaccine, instead of the five which were orginally approved, a 20% increase in doses, @N12News reported. https://t.co/vH7IKufba3""",b'Jerusalem_Post',"['Pfizer', 'vaccine']",492760,4,3
